Title,Rating1,Rating2,Year,imdb
Butch Cassidy and the Sundance Kid,4,6,1969,tt0064115
The Turin Horse,4,6,2011,tt1316540
Bob Le Flembuer,4,6,1956,tt0047892
Pusher III,4,6,2005,tt0425379
Anatomy of a Murder,4,6,1959,tt0052561
Willy Wonka & The Chocolate Factory,4,6,1971,tt0067992
The 400 Blows,4,6,1959,tt0053198
The Exterminating Angel,4,6,1962,tt0056732
Sleepless Night,4,6,2011,tt1683921
Wolfwalkers,3,6,2020,tt5198068
Parasite,3,6,2019,tt6751668
Uncut Gems,3,6,2019,tt5727208
Avengers Infinity War,3,6,2018,tt4154756
Burning,3,6,2018,tt7282468
The House That Jack Built,3,6,2018,tt4003440
The Big Sick,3,6,2017,tt5462602
Baby Driver,3,6,2017,tt3890160
Moonlight,2,6,2016,tt4975722
La La Land,3,6,2016,tt3783958
Perfect Strangers,3,6,2016,tt4901306
Sicario,3,6,2015,tt3397884
Brooklyn,3,6,2015,tt2381111
The Martian,3,6,2015,tt3659388
Room,4,6,2015,tt3170832
Guardians of the Galaxy,3,6,2014,tt2015381
Neighbours,3,6,2014,tt2004420
The Interview,3,6,2014,tt2788710
Winter Sleep,3,6,2014,tt2758880
Enemy,3,6,2014,tt2316411
The Wolf of Wall Street,3,6,2013,tt0993846
Only God Forgives,3,6,2013,tt1602613
Mud,3,6,2013,tt1935179
American Hustle,3,6,2013,tt1800241
Frozen,3,6,2013,tt2294629
The Conjuring,3,6,2013,tt1457767
Killer Joe,3,6,2012,tt1726669
The Raid Redemption,3,6,2012,tt1899353
Ill Manors,3,6,2012,tt1760967
Django Unchained,3,6,2012,tt1853728
The Perks of Being a Wallflower,3,6,2012,tt1659337
The Grey,3,6,2012,tt1601913
Horrible Bosses,3,6,2011,tt1499658
Melancholia,3,6,2011,tt1527186
The Descendants,3,6,2011,tt1033575
Warrior,3,6,2011,tt1291584
Shame,3,6,2011,tt1723811
Kung Fu Panda 2,3,6,2011,tt1302011
Inception,3,6,2010,tt1375666
Machete,3,6,2010,tt0985694
Tucker and Dale vs Evil,3,6,2010,tt1465522
The Fighter,3,6,2010,tt0964517
Black Swan,3,6,2010,tt0947798
The Social Network,,6,2010,tt1285016
The Town,,6,2010,tt0840361
A Prophet,,6,2010,tt1235166
Shutter Island,,6,2010,tt1130884
Avatar,3,6,2009,tt0499549
Watchmen,3,6,2009,tt0409459
The Imaginarium of Doctor Parnussus,,6,2009,tt1054606
The Road,,6,2009,tt0898367
District 9,,6,2009,tt1136608
The Hurt Locker,,6,2009,tt0887912
Moon,,6,2009,tt1182345
The Chaser,3,6,2008,tt1190539
Pineapple Express,3,6,2008,tt0910936
Hunger,3,6,2008,tt0986233
Wanted,,6,2008,tt0493464
Iron Man,,6,2008,tt0371746
Ip Man,,6,2008,tt1220719
Let the Right One In,,6,2008,tt1139797
No Country for Old Men,3,6,2007,tt0477348
Michael Clayton,3,6,2007,tt0465538
Transformers,3,6,2007,tt0418279
300 film,3,6,2007,tt0416449
I am Legend,,6,2007,tt0480249
Ratatouille,,6,2007,tt0382932
Before the Devil Knows You're Dead,,6,2007,tt0292963
REC,,6,2007,tt1038988
Borat,3,6,2006,tt0443453
Children of Men,,6,2006,tt0206634
Apocalypto,,6,2006,tt0472043
The Fountain,,6,2006,tt0414993
V for Vendetta,,6,2006,tt0434409
This is England,,6,2006,tt0480025
The Last King of Scotland,,6,2006,tt0455590
The 40 Year Old Virgin,3,6,2005,tt0405422
Layer Cake,3,6,2004,tt0375912
Pusher II,3,6,2004,tt0396184
Lost in Translation,3,6,2003,tt0335266
The Last Samurai,,6,2003,tt0325710
28 Days Later,,6,2003,tt0289043
Harry Potter and the Chamber of Secrets,3,6,2002,tt0295297
The Royal Tenenbaums,3,6,2001,tt0265666
AI,3,6,2001,tt0212720
Spy Kids,3,6,2001,tt0227538
The Fast and Furious,3,6,2001,tt0232500
The Piano Teacher,3,6,2001,tt0254686
Meet the Parents,3,6,2000,tt0212338
Peppermint Candy,3,6,1999,tt0247613
Audition,3,6,1999,tt0235198
Rushmore,,6,1999,tt0128445
Being John Malkovich,,6,1999,tt0120601
Rush Hour,3,6,1998,tt0120812
The Mask of Zorro,3,6,1998,tt0120746
The Truman Show,3,6,1998,tt0120382
Titanic,3,6,1997,tt0120338
Good Will Hunting,3,6,1997,tt0119217
Hard Eight,3,6,1996,tt0119256
Bottle Rocket,3,6,1996,tt0115734
The Promise,3,6,1996,tt0117398
Crash,2,6,1996,tt0115964
Desperado,3,6,1995,tt0112851
Welcome to Dollhouse,3,6,1995,tt0114906
Braveheart,,6,1995,tt0112573
The Shawshank Redemption,3,6,1994,tt0111161
Once Were Warriors,3,6,1994,tt0110729
The Baby of Macon,3,6,1993,tt0106335
Aladdin,3,6,1992,tt6139732
Husbands and Wives,3,6,1992,tt0104466
Double Life of Veronica,3,6,1991,tt0101765
Raise the Red Lantern,3,6,1991,tt0101640
Boyz n the Hood,,6,1991,tt0101507
Total Recall,3,6,1990,tt0100802
Back to the Future III,3,6,1990,tt0099088
Dead Poets Society,3,6,1989,tt0097165
The Vanishing,3,6,1988,tt0096163
Rain Man,,6,1988,tt0095953
The Last Temptation of Christ,,6,1988,tt0095497
Babette's Feast,3,6,1987,tt0092603
Manon of the Spring,3,6,1986,tt0091480
A Nightmare on Elm Street,3,6,1984,tt0087800
Blood Simple,3,6,1984,tt0086979
Stranger Than Paradise,3,6,1984,tt0088184
Full Moon in Paris,3,6,1984,tt0087821
Pauline at the Beach,3,6,1983,tt0086087
Trading Places,,6,1983,tt0086465
Halloween,3,6,1978,tt0077651
The Omen,3,6,1976,tt0075005
Blazing Saddles,3,6,1974,tt0071230
The Man Who Sleeps,3,6,1974,tt0192718
The Texas Chainsaw Massacre,3,6,1974,tt0072271
The Exorcist,3,6,1973,tt0070047
Don’t Look Now,3,6,1973,tt0069995
The Holy Mountain,3,6,1973,tt0071615
The French Connection,3,6,1971,tt0067116
Harold and Maude,3,6,1971,tt0067185
Last Year at Marienband,3,6,1971,tt0054632
Guess Whos Coming to Dinner,3,6,1967,tt0061735
Two for the Road,3,6,1967,tt0062407
Closely Watched Trains,3,6,1966,tt0060802
Happiness,3,6,1965,tt0058985
Seven Days in May,3,6,1964,tt0058576
The Birds,3,6,1963,tt0056869
The Housemaid,3,6,1960,tt0150980
Late Spring,3,6,1949,tt0041154
Shadows,3,6,1959,tt0053270
Cat on a Hot Tin Roof,3,6,1958,tt0051459
The Lovers,3,6,1958,tt0052556
The Long Hot Summer,3,6,1958,tt0051878
White Nights,3,6,1957,tt0050782
Giant,3,6,1956,tt0049261
The Ten Commandments,3,6,1956,tt0049833
The Searchers,3,6,1956,tt0049730
East of Eden,3,6,1955,tt0048028
The Caine Mutiny,3,6,1954,tt0046816
Magnificent Obsession,3,6,1954,tt0047203
Les Diaboloques,4,6,1955,tt0046911
High Noon,3,6,1952,tt0044706
The Day the Earth Stood Still,3,6,1951,tt0043456
Harvey,3,6,1950,tt0042546
Strangers on a Train,4,6,1951,tt0044079
Laura,3,6,1944,tt0037008
The Life and Death of Colonel Blimp,3,6,1943,tt0036112
Ninotchka,3,6,1939,tt0031725
Sullivans Travels,4,6,1941,tt0034240
Port of Shadows,3,6,1938,tt0030643
Baby Face,3,6,1933,tt0023775
The General,3,6,1926,tt0017925
The Navigator,3,6,1924,tt0015163
The Skeleton of Mrs Morales,3,6,1960,tt0052784
The White Dawn,3,6,1974,tt0072403
Happy Together,3,6,1997,tt0118845
Memories of Underdevelopment,3,6,1968,tt0063291
Tropical Malady,3,6,2004,tt0381668
In The Mood for Love,,6,2000,tt0118694
The Shop Around the Corner,,6,1940,tt0033045
All That Heaven Allows,,6,1955,tt0047811
Aladdin,,6,1992,tt0103639
True Lies,3,6,1994,tt0111503
